S1,S2,S3,Weight
291,226,222,24
292,281,286,29
287,220,288,26
221,293,288,29
290,294,289,28
295,283,292,21
283,296,290,25
287,297,286,26
289,294,298,28
289,298,291,29
287,288,299,26
295,296,283,26
287,299,297,27
292,286,300,21
300,286,297,25
301,226,291,27
237,293,221,23
302,290,296,29
298,294,303,25
303,291,298,29
304,288,293,23
304,299,288,28
302,294,290,28
239,226,301,21
301,291,303,25
305,296,295,25
297,299,306,29
306,300,297,21
292,300,295,22
296,305,302,25
237,307,293,28
304,293,307,26
306,308,300,25
299,308,306,20
301,309,239,28
295,300,310,28
309,253,239,28
303,294,311,20
237,245,312,23
311,294,302,22
308,299,304,27
311,301,303,24
310,305,295,26
301,313,309,23
237,312,307,29
300,314,310,23
311,313,301,21
308,314,300,21
245,315,312,24
311,302,316,25
308,304,317,21
251,315,245,22
302,305,316,29
318,305,310,28
304,307,317,24
311,316,319,29
308,317,320,26
321,307,312,23
256,322,251,21
311,323,313,20
308,324,314,21
325,253,309,21
311,319,323,20
308,320,324,25
326,312,315,27
327,315,251,24
251,322,327,24
305,328,316,24
319,316,329,26
320,317,109,26
313,330,309,23
312,326,321,26
318,328,305,20
256,331,322,28
317,307,332,28
325,259,253,22
325,309,330,29
333,310,314,26
332,307,321,26
318,310,333,28
334,331,256,21
335,315,327,24
336,316,328,28
334,256,260,25
322,331,337,26
337,327,322,22
320,109,338,21
338,324,320,28
319,329,339,29
339,323,319,24
97,109,317,24
97,317,332,28
124,314,324,20
333,314,124,28
329,316,336,29
340,313,323,28
341,259,325,23
325,330,341,25
330,313,340,27
326,315,335,29
332,321,75,29
342,318,333,23
337,331,343,24
337,343,327,21
338,109,118,24
338,118,324,23
339,329,344,27
344,323,339,25
41,260,257,23
41,257,32,20
75,321,326,21
342,328,318,26
341,330,345,21
124,123,333,20
343,335,327,22
344,340,323,28
118,124,324,26
334,346,331,27
336,347,329,29
333,123,342,26
345,330,340,29
97,332,81,29
64,326,335,21
343,331,346,23
344,329,347,27
75,81,332,24
75,326,64,26
260,36,334,27
336,328,348,23
36,260,41,23
49,335,343,25
344,349,340,21
348,328,342,26
350,347,336,26
65,259,341,28
340,349,345,21
336,348,350,29
35,346,334,28
335,49,64,27
343,346,351,24
351,49,343,28
344,347,352,26
342,123,125,21
334,36,35,23
344,352,349,21
342,125,348,27
341,345,77,29
77,65,341,22
350,132,347,21
35,24,346,28
352,347,132,24
351,346,24,21
77,345,349,28
353,349,352,26
351,38,49,28
352,132,353,20
351,24,38,27
128,350,348,25
353,91,349,20
77,349,91,24
128,132,350,20
125,128,348,28
353,131,91,27
132,131,353,24
